x;y;z;yaw;velocity;change_flag;x_real;y_real
16,8851;31,5804;-1,1043;-0,0083;0;0;639786,89;5195071,58
18,0168;31,6272;-1,1042;-0,0052;6,0672;0;639788,02;5195071,63
19,1334;31,6718;-1,1043;-0,0022;8,2841;0;639789,13;5195071,67
20,3395;31,7263;-1,1042;-0,0005;10,0343;0;639790,34;5195071,73
21,4917;31,7769;-1,1042;0,0006;11,201;0;639791,49;5195071,78
22,7748;31,8413;-1,1042;0,0022;12,0178;0;639792,77;5195071,84
23,7818;31,8927;-1,104;0,0033;12,2511;0;639793,78;5195071,89
24,8028;31,9437;-1,1041;0,0038;12,2511;0;639794,80;5195071,94
25,8285;31,9979;-1,104;0,0039;12,3678;0;639795,83;5195072,00
26,8502;32,0474;-1,1041;0,0034;12,2511;0;639796,85;5195072,05
27,8702;32,0985;-1,1042;0,0032;12,2511;0;639797,87;5195072,10
28,894;32,1514;-1,1041;0,0029;12,3678;0;639798,89;5195072,15
29,9215;32,2;-1,1043;0,0021;12,3678;0;639799,92;5195072,20
30,9507;32,2532;-1,1043;-0,0027;12,3678;0;639800,95;5195072,25
31,9832;32,2914;-1,1041;-0,0184;12,4845;0;639801,98;5195072,29
33,0178;32,3028;-1,1039;-0,0473;12,4845;0;639803,02;5195072,30
34,0541;32,2803;-1,1034;-0,0937;12,6012;0;639804,05;5195072,28
35,0801;32,1934;-1,1031;-0,1573;12,6012;0;639805,08;5195072,19
36,0923;32,0287;-1,1025;-0,2419;12,6012;0;639806,09;5195072,03
37,0731;31,7663;-1,1023;-0,3413;12,7178;0;639807,07;5195071,77
38,0264;31,4073;-1,1012;-0,4477;12,7178;0;639808,03;5195071,41
38,9332;30,9413;-1,1012;-0,5575;12,8345;0;639808,93;5195070,94
39,7919;30,3685;-1,1008;-0,669;13,0679;0;639809,79;5195070,37
40,596;29,6868;-1,1004;-0,7823;13,4179;0;639810,60;5195069,69
41,3216;28,8938;-1,1004;-0,8995;13,6513;0;639811,32;5195068,89
41,9604;28,0113;-1,1008;-1,0181;13,7679;0;639811,96;5195068,01
42,4881;27,0395;-1,1008;-1,1404;14,0013;0;639812,49;5195067,04
42,9014;26,0004;-1,1006;-1,2615;14,118;0;639812,90;5195066,00
43,1832;24,8986;-1,1005;-1,3706;14,118;0;639813,18;5195064,90
43,3714;23,751;-1,1;-1,4521;14,3513;0;639813,37;5195063,75
43,5045;22,5708;-1,0997;-1,508;14,5847;0;639813,50;5195062,57
43,5919;21,3565;-1,0995;-1,5382;14,9347;0;639813,59;5195061,36
43,6809;20,1188;-1,0995;-1,5485;15,2847;0;639813,68;5195060,12
43,7545;18,8417;-1,0995;-1,5552;15,8681;0;639813,75;5195058,84
43,8249;17,5256;-1,0996;-1,5615;16,3348;0;639813,82;5195057,53
43,8911;16,1662;-1,1;-1,5651;16,6849;0;639813,89;5195056,17
43,9574;14,7631;-1,1001;-1,5686;17,1516;0;639813,96;5195054,76
44,0148;13,3257;-1,1004;-1,5722;17,3849;0;639814,01;5195053,33
44,0737;11,8768;-1,1009;-1,5776;17,5016;0;639814,07;5195051,88
44,1215;10,4158;-1,1012;-1,584;17,735;0;639814,12;5195050,42
44,1614;8,9431;-1,1012;-1,5931;17,8516;0;639814,16;5195048,94
44,188;7,4513;-1,1009;-1,6031;18,085;0;639814,19;5195047,45
44,1973;6,4462;-1,1009;-1,6106;18,3184;0;639814,20;5195046,45
44,202;5,4333;-1,101;-1,6187;18,435;0;639814,20;5195045,43
44,194;4,4094;-1,101;-1,6295;18,5517;0;639814,19;5195044,41
44,169;3,3818;-1,101;-1,6407;18,7851;0;639814,17;5195043,38
