x;y;z;yaw;velocity;change_flag;x_real;y_real
26,6956;35,251;-1.0956;-3.1403;0.0;0;639796,6956;5195075,251
25,5378;35,1947;-1.0956;-3.141;7.8174;0;639795,538;5195075,195
24,3674;35,1375;-1.0957;3.1401;9.9176;0;639794,367;5195075,138
23,2394;35,0816;-1.0956;3.1383;11.0844;0;639793,239;5195075,082
21,9663;35,0235;-1.0959;3.1365;12.1345;0;639791,966;5195075,024
20,9461;34,9791;-1.0959;3.1346;12.4845;0;639790,946;5195074,979
19,89;34,9341;-1.0961;3.1326;12.6012;0;639789,890;5195074,934
18,8262;34,8938;-1.0964;3.1294;12.7178;0;639788,826;5195074,894
17,7614;34,8567;-1.0965;3.1266;12.7178;0;639787,761;5195074,857
16,7047;34,8183;-1.0966;3.1231;12.7178;0;639786,705;5195074,818
15,6494;34,7858;-1.0966;12.márc;12.6012;0;639785,649;5195074,786
14,5982;34,7565;-1.0968;3.1167;12.6012;0;639784,598;5195074,757
13,5503;34,7311;-1.0965;3.1137;12.4845;0;639783,550;5195074,731
12,5111;34,7066;-1.0969;3.1106;12.4845;0;639782,511;5195074,707
11,4723;34,6881;-1.0968;3.1075;12.3678;0;639781,472;5195074,688
10,4403;34,6719;-1.097;3.1045;12.3678;0;639780,440;5195074,672
9,4136;34,6567;-1.0973;3.1017;12.2511;0;639779,414;5195074,657
8,3891;34,6504;-1.0971;3.1028;12.4845;0;639778,389;5195074,650
7,3574;34,6283;-1.097;3.1106;12.7178;0;639777,357;5195074,628
6,3013;34,5965;-1.097;3.1295;12.9512;0;639776,301;5195074,597
5,2215;34,531;-1.0966;-3.1187;13.0679;0;639775,222;5195074,531
4,1469;34,4119;-1.0966;-3.0626;12.7178;0;639774,147;5195074,412
3,1086;34,1981;-1.098;-2.9868;13.1846;0;639773,109;5195074,198
2,0945;33,9115;-1.0986;-2.8964;12.9512;0;639772,095;5195073,912
1,1275;33,5195;-1.0981;-2.7842;13.0679;0;639771,128;5195073,520
0,24;33,0072;-1.0998;-2.6625;13.0679;0;639770,240;5195073,007
-0,617;32,406;-1.0997;-2.5367;13.3012;0;639769,383;5195072,406
-1,4095;31,6963;-1.0987;-2.4018;13.4179;0;639768,591;5195071,696
-2,0799;30,8673;-1.0992;-2.257;13.6513;0;639767,920;5195070,867
-2,6263;29,9342;-1.1001;-2.1076;13.8846;0;639767,374;5195069,934
-3,0423;28,896;-1.0999;-1.9638;14.2346;0;639766,958;5195068,896
-3,3246;27,7762;-1.1004;-1.8424;14.5847;0;639766,675;5195067,776
-3,5008;26,5892;-1.1005;-1.7483;15.1681;0;639766,499;5195066,589
-3,5872;25,3403;-1.1004;-1.6822;15.7515;0;639766,413;5195065,340
