x_real,y_real,z_real,yaw,velocity,change_flag
640138.5220,5193606.7152,160.0000,1.0038,0,0
640139.0152,5193607.5947,160.0000,1.0111,6.6506,0
640139.5071,5193608.4772,160.0000,1.0067,8.2841,0
640140.1130,5193609.5325,160.0000,0.9876,9.6842,0
640140.6895,5193610.4852,160.0000,0.9589,10.6176,0
640141.3458,5193611.4858,160.0000,0.9147,11.2010,0
640142.0867,5193612.4945,160.0000,0.8551,11.5511,0
640142.9234,5193613.4809,160.0000,0.7825,12.0178,0
640143.8586,5193614.4267,160.0000,0.6996,12.4845,0
640144.6337,5193615.0890,160.0000,0.6257,12.7178,0
640145.4772,5193615.7069,160.0000,0.5449,13.0679,0
640146.3927,5193616.2627,160.0000,0.4612,13.3012,0
640147.3661,5193616.7472,160.0000,0.3767,13.5346,0
640148.3917,5193617.1558,160.0000,0.2937,13.6513,0
640149.4602,5193617.4858,160.0000,0.2084,13.8846,0
640150.5633,5193617.7187,160.0000,0.1197,14.0013,0
640151.6873,5193617.8569,160.0000,0.0264,14.0013,0
640152.8267,5193617.8811,160.0000,-0.0750,14.2346,0
640153.9660,5193617.7884,160.0000,-0.1844,14.2346,0
640155.0907,5193617.5674,160.0000,-0.3019,14.4680,0
640156.1867,5193617.2060,160.0000,-0.4221,14.4680,0
640157.2400,5193616.7135,160.0000,-0.5370,14.5847,0
640158.2428,5193616.1016,160.0000,-0.6402,14.7014,0
640159.1980,5193615.3855,160.0000,-0.7234,14.7014,0
640160.1261,5193614.5960,160.0000,-0.7812,14.9347,0
640161.0314,5193613.7438,160.0000,-0.8250,15.1681,0
640161.9225,5193612.8421,160.0000,-0.8587,15.5181,0
640162.8006,5193611.9013,160.0000,-0.8868,15.7515,0
640163.6659,5193610.9211,160.0000,-0.9094,15.9848,0
640164.5261,5193609.9143,160.0000,-0.9228,16.1015,0
640165.3845,5193608.8914,160.0000,-0.9289,16.2182,0
640166.2493,5193607.8622,160.0000,-0.9283,16.2182,0
640167.1206,5193606.8258,160.0000,-0.9274,15.9848,0
640167.9976,5193605.7861,160.0000,-0.9269,16.3348,0
640168.8713,5193604.7459,160.0000,-0.9274,16.3348,0
640169.7485,5193603.7072,160.0000,-0.9275,16.4515,0
640170.6270,5193602.6649,160.0000,-0.9267,16.4515,0
640171.5062,5193601.6205,160.0000,-0.9254,16.4515,0
640172.3888,5193600.5782,160.0000,-0.9242,16.4515,0
640173.2727,5193599.5357,160.0000,-0.9226,16.5682,0
640174.1601,5193598.4915,160.0000,-0.9213,16.5682,0
640175.0469,5193597.4484,160.0000,-0.9202,16.5682,0
640175.9334,5193596.4082,160.0000,-0.9193,16.4515,0
640176.8226,5193595.3671,160.0000,-0.9180,16.4515,0
640177.7111,5193594.3279,160.0000,-0.9166,16.4515,0
640178.5988,5193593.2947,160.0000,-0.9150,16.4515,0
640179.4878,5193592.2636,160.0000,-0.9125,16.4515,0
640180.3773,5193591.2347,160.0000,-0.9104,16.4515,0
640181.2695,5193590.2113,160.0000,-0.9090,16.3348,0
640182.1547,5193589.1926,160.0000,-0.9079,16.3348,0
640183.0387,5193588.1753,160.0000,-0.9080,16.2182,0
640183.9224,5193587.1598,160.0000,-0.9092,16.2182,0
640184.8018,5193586.1508,160.0000,-0.9100,16.1015,0
640185.6750,5193585.1430,160.0000,-0.9104,16.1015,0
640186.5467,5193584.1390,160.0000,-0.9115,15.9848,0
640187.4152,5193583.1355,160.0000,-0.9123,15.9848,0
640188.2805,5193582.1366,160.0000,-0.9134,15.8681,0
640189.1395,5193581.1392,160.0000,-0.9147,15.8681,0
640189.9972,5193580.1444,160.0000,-0.9160,15.8681,0
640190.8508,5193579.1485,160.0000,-0.9171,15.7515,0
640191.7006,5193578.1566,160.0000,-0.9183,15.7515,0
640192.5454,5193577.1643,160.0000,-0.9194,15.7515,0
640193.3905,5193576.1737,160.0000,-0.9207,15.6348,0
640194.2307,5193575.1850,160.0000,-0.9217,15.6348,0
640195.0658,5193574.1963,160.0000,-0.9228,15.6348,0
640195.9002,5193573.2109,160.0000,-0.9222,15.5181,0
640196.7366,5193572.2262,160.0000,-0.9152,15.5181,0
640197.5783,5193571.2576,160.0000,-0.9026,15.5181,0
640198.4342,5193570.3055,160.0000,-0.8831,15.4014,0
640199.3127,5193569.3773,160.0000,-0.8553,15.4014,0
640200.2167,5193568.4771,160.0000,-0.8199,15.4014,0
640201.1516,5193567.6222,160.0000,-0.7753,15.4014,0
640202.1268,5193566.8165,160.0000,-0.7206,15.2847,0
640203.1465,5193566.0764,160.0000,-0.6549,15.2847,0
640204.2068,5193565.4161,160.0000,-0.5793,15.2847,0
640205.3128,5193564.8448,160.0000,-0.4959,15.1681,0
640206.4571,5193564.3769,160.0000,-0.4025,15.1681,0
640207.6349,5193564.0292,160.0000,-0.2987,15.0514,0
640208.8272,5193563.8072,160.0000,-0.1920,14.9347,0
640210.0259,5193563.7171,160.0000,-0.0851,14.8180,0
640211.2201,5193563.7542,160.0000,0.0200,14.7014,0
640212.4002,5193563.9102,160.0000,0.1164,14.5847,0
640213.5537,5193564.1698,160.0000,0.2000,14.4680,0
640214.6813,5193564.5121,160.0000,0.2658,14.3513,0
640215.7865,5193564.9112,160.0000,0.3134,14.2346,0
640216.8661,5193565.3483,160.0000,0.3469,14.2346,0
640217.9341,5193565.8126,160.0000,0.3691,14.2346,0
640219.0128,5193566.3064,160.0000,0.3842,14.5847,0
640220.1141,5193566.8183,160.0000,0.3930,14.9347,0
640221.2329,5193567.3499,160.0000,0.3997,15.1681,0
