x_real,y_real,z_real,yaw,velocity,change_flag
640163.2200,5193551.2739,160.0000,2.2293,0,0
640162.5129,5193552.1096,160.0000,2.2319,5.8339,0
640161.7822,5193552.9758,160.0000,2.2379,8.4008,0
640161.1188,5193553.7441,160.0000,2.2434,10.3843,0
640160.3195,5193554.6661,160.0000,2.2480,12.2511,0
640159.6248,5193555.4511,160.0000,2.2507,13.5346,0
640158.8607,5193556.3218,160.0000,2.2518,14.8180,0
640158.0242,5193557.2655,160.0000,2.2511,16.1015,0
640157.1227,5193558.2907,160.0000,2.2498,17.3849,0
640156.1586,5193559.3886,160.0000,2.2470,18.2017,0
640155.4851,5193560.1587,160.0000,2.2446,18.4350,0
640154.8048,5193560.9420,160.0000,2.2423,18.6684,0
640154.1203,5193561.7260,160.0000,2.2408,18.5517,0
640153.4450,5193562.5051,160.0000,2.2394,18.5517,0
640152.7783,5193563.2747,160.0000,2.2379,18.2017,0
640152.1220,5193564.0368,160.0000,2.2367,17.9683,0
640151.1566,5193565.1607,160.0000,2.2342,17.6183,0
640150.2151,5193566.2632,160.0000,2.2317,17.2683,0
640149.2945,5193567.3430,160.0000,2.2299,16.9182,0
640148.4005,5193568.4045,160.0000,2.2280,16.4515,0
640147.5289,5193569.4377,160.0000,2.2263,16.1015,0
640146.6834,5193570.4425,160.0000,2.2251,15.5181,0
640145.8678,5193571.4163,160.0000,2.2248,14.5847,0
640145.1033,5193572.3297,160.0000,2.2243,13.7679,0
640144.3963,5193573.1717,160.0000,2.2247,12.8345,0
640143.7346,5193573.9633,160.0000,2.2252,11.9011,0
640142.9200,5193574.9357,160.0000,2.2255,11.0844,0
640142.1606,5193575.8377,160.0000,2.2266,10.5010,0
640141.4341,5193576.7046,160.0000,2.2296,10.0343,0
640140.7289,5193577.5353,160.0000,2.2328,10.0343,0
640140.0158,5193578.3691,160.0000,2.2355,10.0343,0
640139.2952,5193579.2129,160.0000,2.2311,9.9176,0
640138.5990,5193580.0368,160.0000,2.2143,9.8009,0
640137.9501,5193580.8543,160.0000,2.1829,9.5676,0
640137.3223,5193581.6956,160.0000,2.1409,9.8009,0
640136.7301,5193582.5814,160.0000,2.0827,10.0343,0
640136.1884,5193583.5257,160.0000,2.0031,10.2676,0
640135.7253,5193584.5312,160.0000,1.9009,10.6176,0
640135.3807,5193585.5917,160.0000,1.7834,10.6176,0
