x_real;y_real;z_real;yaw;velocity;change_flag
640160.1784;5193552.6076;160.0000;2.2694;0;0
640159.4399;5193553.4182;160.0000;2.2684;5.4838;0
640158.7225;5193554.2104;160.0000;2.2693;7.7007;0
640157.9467;5193555.0622;160.0000;2.2701;9.3342;0
640157.2214;5193555.8587;160.0000;2.2710;10.6176;0
640156.4055;5193556.7523;160.0000;2.2699;11.9011;0
640155.5006;5193557.7440;160.0000;2.2688;12.9512;0
640154.7727;5193558.5490;160.0000;2.2677;13.6513;0
640153.9990;5193559.3998;160.0000;2.2661;14.3513;0
640153.1945;5193560.2945;160.0000;2.2650;14.7014;0
640152.3671;5193561.2139;160.0000;2.2632;14.8180;0
640151.5427;5193562.1309;160.0000;2.2615;14.3513;0
640150.7415;5193563.0326;160.0000;2.2597;14.3513;0
640149.9558;5193563.9145;160.0000;2.2573;14.0013;0
640149.1910;5193564.7753;160.0000;2.2555;13.6513;0
640148.4469;5193565.6188;160.0000;2.2535;13.3012;0
640147.7227;5193566.4399;160.0000;2.2515;12.9512;0
640147.0199;5193567.2429;160.0000;2.2498;12.6012;0
640146.3364;5193568.0215;160.0000;2.2474;12.3678;0
640145.6715;5193568.7837;160.0000;2.2457;12.1345;0
640144.8129;5193569.7749;160.0000;2.2428;11.7844;0
640143.9678;5193570.7463;160.0000;2.2404;11.5511;0
640143.1363;5193571.7116;160.0000;2.2382;11.4344;0
640142.3094;5193572.6722;160.0000;2.2360;11.4344;0
640141.4842;5193573.6275;160.0000;2.2341;11.4344;0
640140.6717;5193574.5831;160.0000;2.2323;11.4344;0
640139.8591;5193575.5344;160.0000;2.2300;11.3177;0
640139.0512;5193576.4853;160.0000;2.2281;11.2010;0
640138.2601;5193577.4234;160.0000;2.2243;10.8510;0
640137.4931;5193578.3405;160.0000;2.2153;10.6176;0
640136.7669;5193579.2379;160.0000;2.1943;10.1509;0
640136.0974;5193580.1183;160.0000;2.1604;9.8009;0
640135.4838;5193580.9881;160.0000;2.1131;9.9176;0
640134.9436;5193581.8611;160.0000;2.0480;9.4509;0
640134.4660;5193582.7689;160.0000;1.9726;9.5676;0
640134.0481;5193583.7330;160.0000;1.8930;9.9176;0
640133.7087;5193584.7499;160.0000;1.8085;10.1509;0
640133.4513;5193585.8179;160.0000;1.7139;10.3843;0
640133.3031;5193586.9389;160.0000;1.6109;10.7343;0
640133.2655;5193588.0963;160.0000;1.5060;11.0844;0
640133.3626;5193589.2924;160.0000;1.4030;11.4344;0
640133.5864;5193590.5267;160.0000;1.3052;11.9011;0
640133.9428;5193591.7926;160.0000;1.2230;12.3678;0
640134.2866;5193592.7604;160.0000;1.1712;12.7178;0
640134.6864;5193593.7398;160.0000;1.1262;13.1846;0
640135.1422;5193594.7352;160.0000;1.0921;13.5346;0
640135.6417;5193595.7514;160.0000;1.0677;14.0013;0
640136.1717;5193596.7874;160.0000;1.0486;14.3513;0
640136.7401;5193597.8392;160.0000;1.0326;14.4680;0
640137.3295;5193598.8954;160.0000;1.0223;14.2346;0
640137.9234;5193599.9474;160.0000;1.0162;14.4680;0
640138.5204;5193600.9888;160.0000;1.0124;14.3513;0
640139.1094;5193602.0132;160.0000;1.0097;14.1180;0
640139.6948;5193603.0293;160.0000;1.0075;14.0013;0
640140.2771;5193604.0348;160.0000;1.0046;13.7679;0
640140.8448;5193605.0156;160.0000;1.0018;12.8345;0
640141.3804;5193605.9324;160.0000;1.0001;12.2511;0
640142.0521;5193607.0740;160.0000;0.9963;11.6677;0
640142.6954;5193608.1691;160.0000;0.9904;11.3177;0
640143.3324;5193609.2317;160.0000;0.9744;11.0844;0
640143.9887;5193610.2647;160.0000;0.9375;10.9677;0
640144.6887;5193611.2458;160.0000;0.8732;10.9677;0
640145.4515;5193612.1553;160.0000;0.7826;10.9677;0
640146.2918;5193612.9741;160.0000;0.6738;10.9677;0
640147.2162;5193613.6758;160.0000;0.5435;10.9677;0
640148.2334;5193614.2518;160.0000;0.4040;11.2010;0
640149.3292;5193614.6676;160.0000;0.2503;11.4344;0
640150.4888;5193614.9121;160.0000;0.0860;11.5511;0
640151.6998;5193614.9609;160.0000;-0.0768;11.9011;0
640152.9426;5193614.8077;160.0000;-0.2394;12.2511;0
640154.2040;5193614.4405;160.0000;-0.3925;12.8345;0
640155.1509;5193614.0274;160.0000;-0.4965;13.1846;0
640156.0927;5193613.5026;160.0000;-0.5878;13.6513;0
640157.0200;5193612.8724;160.0000;-0.6688;14.1180;0
640157.9327;5193612.1441;160.0000;-0.7348;14.5847;0
